id,name,address,square_feet,PSU,EUI,city,country,state,yearBuilt,grossFloorArea,numberOfBuildings,occupancyPercentage,primaryFunction,propGrossFloorArea,referencePropertyTypeMedian,systemDefinedPropertyType,annual_electricity_use,annual_energy_cost,annual_ghg_emissions,annual_natural_gas_use,cost_per_square_foot,gas_percent_of_energy_cost,latitude,longitude
110,Payne Elementary School,305 15TH STREET SE,83800.00,K-12 School,38.00,Washington,US,DC,1896,83800,0.00,100.00,K-12 School,83800.00,CBECS - Elementary/Middle & High School,K-12 School,941818.97,"$110,192.82",558.03,0.00,$1.31,,,
111,DC General Hospital,1900 MASSACHUSETTS AVENUE SE,819577.00,Hospital (General Medical & Surgical),164.00,Washington,US,DC,1922,819577,1.00,100.00,Outpatient Rehabilitation/Physical Therapy,819577.00,CBECS - Outpatient Healthcare,Outpatient Rehabilitation/Physical Therapy,11100330.12,"$2,240,397.31",11702.89,966795.37,$2.73,42.03%,,
112,Engine Company #8,1520 C STREET SE,9941.00,Fire Station,85.00,Washington,US,DC,1963,10080,1.00,100.00,Other - Public Services,10080.00,CBECS - Fire Station/Police Station,Fire Station,170975.00,"$22,589.07",115.37,2654.00,$2.27,11.44%,,
113,William H. Rumsey Aquatic Center,635 NORTH CAROLINA AVENUE SE,20584.00,Swimming Pool,298.00,Washington,US,DC,1000,20584,1.00,100.00,Swimming Pool,13455.00,CBECS - Recreation,Swimming Pool,584588.97,"$108,744.11",566.00,41424.23,$5.28,37.1%,,
114,Eastern Market,225 7TH STREET SE,16500.00,Retail Store,228.00,,,,,,,,,,,,614515.41,"$88,102.15",452.31,16636.39,$5.34,18.39%,,
115,Southeast Library,403 7TH STREET SE,6431.00,Library,96.00,,,,,,,,,,,,154145.93,"$18,915.93",96.13,904.37,$2.94,4.66%,,
116,King Greenleaf Recreation Center,201 N STREET SW,15960.00,Other - Recreation,106.00,Washington,US,DC,2005,16500,1.00,100.00,Other - Recreation,16500.00,CBECS - Recreation,Other - Recreation,274483.88,"$39,413.85",202.37,7494.08,$2.47,18.52%,,
117,East Potomac Pool,1000 OHIO DRIVE SW,5554.00,Swimming Pool,18.00,Washington,US,DC,1000,40810,1.00,100.00,Other - Recreation,40810.00,CBECS - Recreation,Other - Recreation,29175.87,"$3,413.58",17.29,0.00,$0.61,,,
118,Eaton Elementary School,3301 LOWELL STREET NW,49100.00,K-12 School,79.00,Washington,US,DC,1911,49100,1.00,100.00,K-12 School,49100.00,CBECS - Elementary/Middle & High School,K-12 School,464597.15,"$76,508.38",395.85,22741.80,$1.56,28.95%,,
119,Hearst Elementary School,3950 37TH STREET NW,46484.00,K-12 School,78.00,Washington,US,DC,1932,46484,1.00,100.00,K-12 School,46484.00,CBECS - Elementary/Middle & High School,K-12 School,906315.14,"$111,316.22",565.72,5418.22,$2.39,4.74%,38.94,-77.07
12,Penn Mall - MPD Branch Ctr,3244 PENNSYLVANIA AVENUE SE,,Retail Store,,,,,,,,,,,,,353988.00,"$41,416.60",209.74,0.00,,,,
120,Garbage Station (Maintenance Facility #2),427 NEW JERSEY AVENUE NW,,Other - Public Services,,,,,,,,,,,,,21492.74,"$2,514.65",12.73,0.00,,,,
121,CC & V Shelter For The Homeless,425 2nd St NW,350000.00,Other - Lodging/Residential,34.00,Washington,US,DC,1949,350000,1.00,100.00,Other,350000.00,CBECS - Other,Other,2909419.04,"$360,425.51",1832.83,20557.99,$1.03,5.56%,,
122,One Judiciary Square,441 4TH STREET NW,850354.00,Office,81.00,Washington,US,DC,1989,850354,1.00,100.00,Office,850354.00,CBECS - Office & Bank/Financial,Office,20288015.99,"$2,373,697.87",12020.65,0.00,$2.79,,,
123,Henry Daly Building,300 INDIANA AVENUE NW,585955.00,Office,44.00,Washington,US,DC,1942,533545,1.00,100.00,Office,533545.00,CBECS - Office & Bank/Financial,Office,7635013.06,"$893,296.53",4523.75,0.00,$1.52,,,
124,Engine Company #3,439 NEW JERSEY AVENUE NW,12506.00,Fire Station,68.00,,,,,,,,,,,,119246.29,"$18,237.58",93.98,4400.17,$1.46,23.5%,,
125,Engine Company #2,500 F STREET NW,35241.00,Fire Station,75.00,Washington,US,DC,1978,35241,1.00,100.00,Other - Public Services,35214.00,CBECS - Fire Station/Police Station,Fire Station,407650.54,"$59,782.50",307.33,12410.05,$1.70,20.22%,,
126,Francis Recreation Center,2435 N STREET NW,7675.00,Other - Recreation,56.00,,,,,,,,,,,,125247.84,"$14,654.00",74.21,0.00,$1.91,,,
127,School Without Walls @ Francis-Stevens,2425 N STREET NW,95100.00,K-12 School,97.00,Washington,US,DC,1927,95100,0.00,100.00,K-12 School,95100.00,CBECS - Elementary/Middle & High School,K-12 School,920975.38,"$166,545.29",865.71,60360.54,$1.75,35.3%,,
128,Stead Recreation Center,1625 P STREET NW,1858.00,Other - Recreation,189.00,,,,,,,,,,,,102725.77,"$12,018.92",60.87,0.00,$6.47,,,
129,Oyster-Adams Bilingual School (Oyster),2801 CALVERT STREET NW,47984.00,K-12 School,63.00,Washington,US,DC,2002,47984,0.00,100.00,K-12 School,47984.00,CBECS - Elementary/Middle & High School,K-12 School,792710.72,"$95,808.15",486.34,3142.71,$2.00,3.19%,,
13,Kimball Elementary School,3375 MINNESOTA AVENUE SE,83400.00,K-12 School,26.00,Washington,US,DC,1942,83400,1.00,100.00,K-12 School,83400.00,CBECS - Elementary/Middle & High School,K-12 School,359104.57,"$51,095.18",262.20,9322.33,$0.61,17.77%,,
130,Garrison Elementary School,1200 S STREET NW,60200.00,K-12 School,36.00,Washington,US,DC,1964,60200,1.00,100.00,K-12 School,60200.00,CBECS - Elementary/Middle & High School,K-12 School,390964.62,"$54,092.63",277.10,8572.66,$0.90,15.44%,38.91,-77.03
131,Record Center,1300 NAYLOR COURT NW,27318.00,Non-Refrigerated Warehouse,40.00,Washington,US,DC,1000,27760,1.00,100.00,Non-Refrigerated Warehouse,27760.00,CBECS - Office & Bank/Financial,Office,323343.24,"$37,832.13",191.59,1.00,$1.38,0.0%,,
132,Shaw Middle School,925 RHODE ISLAND AVENUE NW,230400.00,K-12 School,0.00,Washington,US,DC,1000,230400,1.00,0.00,Distribution Center,230400.00,CBECS - Elementary/Middle & High School,K-12 School,30415.00,"$3,558.56",18.02,0.00,$0.02,,,
133,Traffic Division,501 NEW YORK AVENUE NW,13728.00,Office,96.00,,,,,,,,,,,,180698.71,"$27,997.71",144.38,7038.97,$2.04,24.49%,,
134,Engine Company #6,1300 NEW JERSEY AVENUE NW,18432.00,Fire Station,95.00,Washington,US,DC,1973,18432,1.00,100.00,Other - Public Services,18432.00,CBECS - Fire Station/Police Station,Fire Station,252614.86,"$38,171.70",196.57,8845.75,$2.07,22.57%,,
135,Kennedy Recreation Center,1401 7TH STREET NW,17262.00,Other - Recreation,102.00,Washington,US,DC,2003,18000,1.00,100.00,Other - Recreation,18000.00,CBECS - Recreation,Other - Recreation,341479.91,"$45,688.32",233.55,5888.27,$2.65,12.55%,,
136,Walker-Jones Education Campus,1125 NEW JERSEY AVENUE NW,104200.00,K-12 School,130.00,Washington,US,DC,2009,122200,1.00,100.00,K-12 School,122200.00,CBECS - Elementary/Middle & High School,K-12 School,2097062.85,"$307,706.67",1581.92,64014.70,$2.95,20.26%,38.90,-77.01
137,John F Cook Elementary,30 P STREET NW,43500.00,K-12 School,3.00,Washington,US,DC,1940,43500,1.00,100.00,K-12 School,43500.00,CBECS - Elementary/Middle & High School,K-12 School,39640.00,"$4,637.88",23.49,0.00,$0.11,,,
138,African American War Vault,1922 VERMONT AVENUE NW,,Museum,,,,,,,,,,,,,13895.35,"$1,625.76",8.23,0.00,,,38.92,-77.03
139,Warrington Motor Company Garage (Historic Alley Building),1349 CEDAR COURT NW,6966.00,Other - Public Services,42.00,,,,,,,,,,,,28418.76,"$5,242.61",27.28,1968.80,$0.75,36.58%,38.97,-77.02
14,Income Maintenance Administration Office,4001 SOUTH CAPITOL STREET SW,23540.00,Office,3.00,Washington,US,DC,1000,23540,1.00,100.00,Office,23540.00,CBECS - Office & Bank/Financial,Office,15750.00,"$1,941.59",9.87,101.48,$0.08,5.09%,,
140,Transportation Equipment Center,1325 S STREET NW,30810.00,Other - Public Services,74.00,Washington,US,DC,1000,33000,1.00,100.00,Other - Public Services,33000.00,CBECS - Other,Other,399458.14,"$55,600.54",284.93,9100.55,$1.80,15.94%,,
141,Grimke School,1923 VERMONT AVENUE NW,57165.00,K-12 School,26.00,Washington,US,DC,2014,57165,1.00,0.00,Office,57165.00,CBECS - Office & Bank/Financial,Office,441655.57,"$51,674.68",261.69,1.00,$0.90,0.0%,,
142,Department of General Services Offices,1250 U STREET NW,34400.00,Office,78.00,Washington,US,DC,1000,34400,1.00,100.00,Office,34400.00,CBECS - Office & Bank/Financial,Office,787808.42,"$92,173.59",466.78,0.00,$2.68,,,
143,Duke Ellington School of the Arts @ Garnet-Patterson,2001 10TH STREET NW,87107.00,K-12 School,108.00,Washington,US,DC,1000,87107,1.00,100.00,K-12 School,87107.00,CBECS - Elementary/Middle & High School,K-12 School,694538.04,"$150,165.92",786.60,70744.32,$1.72,45.89%,38.92,-77.03
144,Cleveland Elementary School,1825 8TH STREET NW,53000.00,K-12 School,75.00,Washington,US,DC,1912,53000,1.00,100.00,K-12 School,53000.00,CBECS - Elementary/Middle & High School,K-12 School,681173.19,"$96,012.93",492.41,16751.20,$1.81,16.99%,,
145,Oyster-Adams Bilingual School (Adams),2020 19TH STREET NW,59400.00,K-12 School,93.00,Washington,US,DC,1900,59400,1.00,100.00,K-12 School,59400.00,CBECS - Elementary/Middle & High School,K-12 School,509390.91,"$96,689.50",503.72,38080.87,$1.63,38.36%,,
146,Guy Mason Recreation Center,3600 CALVERT STREET NW,3545.00,Other - Recreation,363.00,Washington,US,DC,2000,3545,1.00,100.00,Other - Recreation,3545.00,CBECS - Recreation,Other - Recreation,239147.08,"$32,579.80",166.73,4722.37,$9.19,14.12%,38.92,-77.07
147,Engine Company #21,1763 LANIER PLACE NW,8925.00,Fire Station,120.00,Washington,US,DC,1912,12800,1.00,100.00,Other - Public Services,12800.00,CBECS - Other,Other - Public Services,166047.36,"$24,343.90",125.15,5047.60,$2.73,20.2%,,
148,Rita Bright Family and Youth Center,2500 14TH STREET NW,16768.00,Social/Meeting Hall,52.00,Washington,US,DC,1980,5000,1.00,100.00,Fitness Center/Health Club/Gym,16768.00,CBECS - Recreation,Fitness Center/Health Club/Gym,254099.00,"$29,729.58",150.55,0.00,$1.77,,38.92,-77.03
149,Columbia Heights Community Center,1480 GIRARD STREET NW,54061.00,Social/Meeting Hall,68.00,Washington,US,DC,2006,54061,0.00,100.00,Other - Recreation,54061.00,CBECS - Recreation,Other - Recreation,611632.00,"$86,784.15",445.26,15629.57,$1.61,17.54%,38.93,-77.04
15,Washington Highlands Library,115 ATLANTIC STREET SW,22000.00,Library,81.00,Washington,US,DC,1000,17119,1.00,100.00,Library,17119.00,CBECS - Library,Library,507693.50,"$59,829.91",303.15,441.24,$2.72,0.72%,,
150,Duke Ellington School of the Arts @ Meyer,2501 11TH STREET NW,62200.00,K-12 School,74.00,Washington,US,DC,1000,62200,1.00,100.00,K-12 School,62200.00,CBECS - Elementary/Middle & High School,K-12 School,707455.48,"$103,873.64",534.03,21664.63,$1.67,20.31%,,
151,Benjamin Banneker High School,800 EUCLID STREET NW,180000.00,K-12 School,56.00,Washington,US,DC,1939,180000,1.00,100.00,K-12 School,180000.00,CBECS - Elementary/Middle & High School,K-12 School,1030871.29,"$185,245.15",962.62,66358.53,$1.03,34.89%,38.92,-77.02
152,Engine Company #4,2531 SHERMAN AVENUE NW,19315.00,Fire Station,103.00,Washington,US,DC,1000,19315,1.00,100.00,Other - Public Services,19315.00,CBECS - Fire Station/Police Station,Fire Station,290771.29,"$43,785.38",225.44,10025.81,$2.27,22.3%,,
153,Banneker Recreation Center,2500 GEORGIA AVENUE NW,12660.00,Other - Recreation,194.00,,,,,,,,,,,,526178.50,"$67,961.59",346.59,6569.51,$5.37,9.42%,38.92,-77.02
154,Fire Alarm Headquarters,300 MCMILLAN DRIVE NW,2818.00,Fire Station,84.00,Washington,US,DC,1000,22250,1.00,100.00,Other - Public Services,22250.00,CBECS - Fire Station/Police Station,Fire Station,37922.38,"$5,476.28",28.13,1067.11,$1.94,18.98%,,
155,Material Testing Laboratory,280 MCMILLAN DRIVE NW,,Laboratory,,,,,,,,,,,,,2470.95,"$1,786.99",9.62,1537.87,,83.82%,,
156,Washington Metropolitan High School,300 BRYANT STREET NW,49500.00,K-12 School,73.00,Washington,US,DC,1962,49500,1.00,100.00,K-12 School,49500.00,CBECS - Elementary/Middle & High School,K-12 School,503154.72,"$77,557.06",399.85,19186.82,$1.57,24.1%,,
157,Emergency Management Communications,320 MCMILLAN DRIVE NW,5783.00,Fire Station,921.00,Washington,US,DC,1000,37032,1.00,100.00,Fire Station,37032.00,CBECS - Fire Station/Police Station,Fire Station,1560819.28,"$182,615.86",924.79,0.00,$31.58,,,
158,Bruce-Monroe Elementary School @ Park View,3560 WARDER STREET NW,82200.00,K-12 School,34.00,Washington,US,DC,1916,82200,1.00,100.00,K-12 School,82200.00,CBECS - Elementary/Middle & High School,K-12 School,420034.00,"$62,165.13",319.75,13368.74,$0.76,20.95%,38.93,-77.02
159,Parkview Recreation Center,693 OTIS PLACE NW,2347.00,Other - Entertainment/Public Assembly,500.00,,,,,,,,,,,,167747.53,"$25,466.02",131.18,5995.44,$10.85,22.93%,38.93,-77.02
16,Leckie Elementary School,4201 MARTIN LUTHER KING JR AVENUE SW,62075.00,K-12 School,96.00,Washington,US,DC,1970,65000,1.00,100.00,K-12 School,65000.00,CBECS - Elementary/Middle & High School,K-12 School,1070301.82,"$147,844.20",757.28,23222.68,$2.38,15.3%,38.83,-77.01
160,Engine Company 11,1338 PARK ROAD NW,6851.00,Food Sales,32.00,,,,,,,,,,,,34193.85,"$4,984.49",25.62,1010.07,$0.73,19.74%,,
161,Duke Ellington School of Art,3500 R STREET NW,167500.00,K-12 School,37.00,Washington,US,DC,1898,167500,1.00,0.00,K-12 School,167500.00,CBECS - Elementary/Middle & High School,K-12 School,1822000.14,"$213,174.02",1079.54,0.00,$1.27,,,
162,Montrose Park,1101 MONROE STREET NW,,Other - Recreation,,,,,,,,,,,,,8974.10,"$1,049.97",5.32,0.00,,,,
164,Columbia Heights Education Campus,3101 16TH STREET NW,325217.00,K-12 School,108.00,Washington,US,DC,2006,325217,1.00,100.00,K-12 School,325217.00,CBECS - Elementary/Middle & High School,K-12 School,4643517.30,"$730,546.60",3770.61,192253.67,$2.25,25.63%,38.93,-77.03
165,Department of Parks and Recreation Headquarters,3149 16TH STREET NW,16098.00,Other - Recreation,9.00,Washington,US,DC,1929,16098,1.00,0.00,Office,14633.40,CBECS - Office & Bank/Financial,Office,42556.14,"$4,979.07",25.21,0.00,$0.31,,,
166,Bancroft Elementary (Undergoing Modernization),1755 NEWTON STREET NW,79800.00,K-12 School,75.00,Washington,US,DC,1924,79800,1.00,0.00,K-12 School,79800.00,CBECS - Elementary/Middle & High School,K-12 School,813450.00,"$126,285.16",651.33,31942.00,$1.58,24.64%,38.93,-77.04
167,Powell Elementary School,1350 UPSHUR STREET NW,38500.00,K-12 School,150.00,Washington,US,DC,2016,76848,1.00,100.00,K-12 School,76848.00,CBECS - Elementary/Middle & High School,K-12 School,1386121.33,"$172,267.96",876.21,10361.15,$4.47,5.86%,,
168,Raymond Education Campus,915 SPRING ROAD NW,64113.00,K-12 School,72.00,Washington,US,DC,1924,73600,1.00,100.00,K-12 School,73600.00,CBECS - Elementary/Middle & High School,K-12 School,676044.31,"$101,261.42",521.21,22755.89,$1.58,21.89%,38.94,-77.03
169,Upshur Recreation Center,4300 ARKANSAS AVENUE NW,6139.00,Other - Recreation,112.00,,,,,,,,,,,,157915.86,"$19,940.77",101.54,1503.71,$3.25,7.34%,,
17,Oxon Run Pool,501 MISSISSIPPI AVENUE SE,,Swimming Pool,,,,,,,,,,,,,0.00,$0.00,0.00,0.00,,,,
170,Roosevelt High School,4301 13TH STREET NW,331900.00,K-12 School,51.00,Washington,US,DC,1950,331900,0.00,0.00,K-12 School,331900.00,CBECS - Elementary/Middle & High School,K-12 School,4239775.97,"$519,775.88",2641.20,24355.33,$1.57,4.56%,38.94,-77.03
171,MacFarland Middle School,4400 IOWA AVENUE NW,110000.00,K-12 School,21.00,Washington,US,DC,1000,110000,1.00,100.00,K-12 School,110000.00,CBECS - Elementary/Middle & High School,K-12 School,612992.58,"$74,134.64",376.34,2478.96,$0.67,3.26%,38.94,-77.03
172,Petworth Recreation Center,801 TAYLOR STREET NW,2407.00,Other - Recreation,143.00,,,,,,,,,,,,48458.81,"$7,418.10",38.23,1795.09,$3.08,23.57%,,
173,Ready Reserve,915 GALLATIN STREET NW,14839.00,Non-Refrigerated Warehouse,60.00,Washington,US,DC,2005,16442,1.00,100.00,Other - Public Services,16442.00,CBECS - Fire Station/Police Station,Fire Station,61082.53,"$13,815.26",72.49,6846.62,$0.93,48.27%,,
174,Emery Recreation Center,5701 GEORGIA AVENUE NW,36387.00,Other - Recreation,82.00,,,,,,,,,,,,475611.47,"$68,930.48",354.11,13638.54,$1.89,19.27%,,
175,Addison Elementary,3246 P STREET NW,41329.00,K-12 School,26.00,Washington,US,DC,1885,41329,1.00,0.00,K-12 School,41329.00,CBECS - Elementary/Middle & High School,K-12 School,209436.50,"$27,806.78",142.07,3390.87,$0.67,11.88%,38.91,-77.06
176,Hyde Elementary,3219 O STREET NW,110100.00,K-12 School,4.00,Washington,US,DC,1907,110100,1.00,0.00,K-12 School,110100.00,CBECS - Elementary/Middle & High School,K-12 School,136091.00,"$15,968.17",80.88,46.74,$0.15,0.29%,,
177,Engine Company #5,3412 DENT PLACE NW,7079.00,Fire Station,142.00,,,,,,,,,,,,82344.79,"$16,710.48",87.31,7265.03,$2.36,42.35%,,
178,West Education Campus,1338 FARRAGUT STREET NW,69600.00,K-12 School,98.00,Washington,US,DC,1978,69600,0.00,100.00,K-12 School,69600.00,CBECS - Elementary/Middle & High School,K-12 School,1237057.72,"$169,855.75",869.70,25790.55,$2.44,14.79%,,
179,Shepherd Park,1400 KALMIA ROAD NW,,Other - Recreation,,,,,,,,,,,,,0.00,$0.00,0.00,0.00,,,,
18,King Elementary School,3200 6TH STREET SE,65500.00,K-12 School,68.00,Washington,US,DC,1971,65500,1.00,100.00,K-12 School,65500.00,CBECS - Elementary/Middle & High School,K-12 School,518459.27,"$86,506.03",447.88,26536.24,$1.32,29.88%,38.84,-77.00
180,Brightwood Education Campus,1300 NICHOLSON STREET NW,86120.00,Other - Recreation,94.00,Washington,US,DC,1926,86120,0.00,100.00,K-12 School,86120.00,CBECS - Elementary/Middle & High School,K-12 School,1472827.80,"$202,502.04",1036.94,30986.85,$2.35,14.9%,38.96,-77.03
181,Coolidge High School,6315 5TH STREET NW,271300.00,K-12 School,37.00,Washington,US,DC,1940,271300,1.00,100.00,K-12 School,271300.00,CBECS - Elementary/Middle & High School,K-12 School,1570967.51,"$228,420.34",1173.67,45808.15,$0.84,19.53%,38.97,-77.02
182,Takoma Community Center,300 VAN BUREN STREET NW,81397.00,Social/Meeting Hall,145.00,Washington,US,DC,2004,81397,0.00,100.00,Other - Recreation,81397.00,CBECS - Recreation,Other - Recreation,2457669.04,"$320,586.00",1636.02,33920.66,$3.94,10.31%,38.97,-77.02
183,Fort Stevens Recreation Center,1327 VAN BUREN STREET NW,11274.00,Other - Recreation,87.00,,,,,,,,,,,,279689.41,"$33,024.62",167.35,308.99,$2.93,0.91%,,
184,Takoma Park Library,416 CEDAR STREET NW,8726.00,Library,136.00,,,,,,,,,,,,109215.90,"$20,669.43",107.67,8101.82,$2.37,38.18%,,
185,Lafayette Elementary,5701 BROAD BRANCH ROAD NW,113600.00,K-12 School,38.00,Washington,US,DC,1931,113600,1.00,0.00,K-12 School,113600.00,CBECS - Elementary/Middle & High School,K-12 School,1114352.31,"$135,253.54",686.79,5004.43,$1.19,3.6%,,
186,Lafeyette Recreation Center,5900 33RD STREET NW,969.00,Other - Recreation,155.00,,,,,,,,,,,,12156.59,"$2,481.67",12.97,1087.63,$2.56,42.69%,,
187,Chevy Chase Community Center,5601 CONNECTICUT AVENUE NW,32527.00,Social/Meeting Hall,81.00,Washington,US,DC,1000,32527,1.00,100.00,Social/Meeting Hall,32527.00,CBECS - Social/Meeting,Social/Meeting Hall,213786.25,"$43,570.63",227.69,19053.02,$1.34,42.59%,38.96,-77.08
188,Municipal Warehouse #1,2000 ADAMS PLACE NE,202829.00,Non-Refrigerated Warehouse,35.00,Washington,US,DC,1983,202829,0.00,100.00,Non-Refrigerated Warehouse,202829.00,CBECS - Unrefrigerated Warehouse & Distribution Center,Non-Refrigerated Warehouse,1113091.99,"$161,946.26",832.15,32561.09,$0.80,19.58%,38.92,-76.97
189,Langdon Elementary School,1900 EVARTS STREET NE,101400.00,K-12 School,47.00,Washington,US,DC,1930,101400,1.00,100.00,K-12 School,101400.00,CBECS - Elementary/Middle & High School,K-12 School,933638.14,"$124,648.35",637.08,15824.11,$1.23,12.36%,,
19,Simon Elementary School,401 MISSISSIPPI AVENUE SE,66200.00,K-12 School,58.00,Washington,US,DC,1950,66200,1.00,100.00,K-12 School,66200.00,CBECS - Elementary/Middle & High School,K-12 School,888422.53,"$111,688.72",568.54,7949.98,$1.69,6.93%,,
190,Langdon Park Community Center,2901 20TH STREET NE,14269.00,Social/Meeting Hall,119.00,Washington,US,DC,1000,14269,1.00,100.00,Other - Recreation,14269.00,CBECS - Recreation,Other - Recreation,203885.56,"$33,612.50",173.92,10018.37,$2.36,29.03%,,
191,Arboretum Recreation Center,2412 RAND PLACE NE,1396.00,Other - Recreation,107.00,,,,,,,,,,,,43653.27,"$5,107.43",25.86,0.00,$3.66,,38.91,-76.97
192,Chevy Chase Playground,4101 LIVINGSTON STREET NW,,Other - Recreation,,,,,,,,,,,,,42591.52,"$6,142.51",31.55,1190.25,,18.87%,,
193,Murch Elementary School,4810 36TH STREET NW,47400.00,K-12 School,85.00,Washington,US,DC,1929,47400,1.00,0.00,K-12 School,47700.00,CBECS - Elementary/Middle & High School,K-12 School,467745.00,"$78,622.28",407.22,24534.00,$1.66,30.39%,,
194,Engine Company #31,4930 CONNECTICUT AVENUE NW,11934.00,Fire Station,59.00,Washington,US,DC,1930,11720,1.00,100.00,Other - Public Services,11934.00,CBECS - Other,Other - Public Services,107649.00,"$15,868.25",81.60,3360.70,$1.33,20.63%,,
195,Girard Street Park,14TH STREET AND GIRARD STREET NW,,Other - Recreation,,,,,,,,,,,,,12700.14,"$1,485.92",7.52,0.00,,,,
196,Training Academy,4600 SHEPHERD PARKWAY SW,23918.00,Fire Station,61.00,Washington,US,DC,1000,23918,1.00,100.00,Other - Public Services,23918.00,CBECS - Other,Other - Public Services,306143.91,"$39,951.05",203.88,4242.52,$1.67,10.34%,,
197,ID Impoundment Lot,5001 SHEPHERD PARKWAY SW,1760.00,Parking,317.00,,,,,,,,,,,,163408.98,"$19,118.85",96.82,0.00,$10.86,,,
198,Police Training Academy,4665 BLUE PLAINS DRIVE SW,103200.00,Police Station,85.00,Washington,US,DC,1000,112283,1.00,100.00,Police Station,112283.00,CBECS - Fire Station/Police Station,Police Station,1345584.90,"$197,690.73",1016.40,41331.93,$1.92,20.36%,38.82,-77.01
199,Bald Eagle Recreation Center,100 JOLIET STREET SW,23055.00,Other - Recreation,117.00,,,,,,,,,,,,583588.52,"$75,212.31",383.51,7117.51,$3.26,9.22%,38.82,-77.01
2,Park Road Park,MOUNT PLEASANT STREET AND 19TH STREET AND PARK ROAD NW,,Other,,,,,,,,,,,,,1968.03,$230.26,1.17,0.00,,,,
20,Southeast Tennis & Learning Center,701 MISSISSIPPI AVENUE SE,39541.00,Other - Recreation,97.00,Washington,US,DC,1000,39541,3.00,100.00,Fitness Center/Health Club/Gym,39541.00,CBECS - Recreation,Fitness Center/Health Club/Gym,426520.60,"$72,952.60",378.19,23664.98,$1.84,31.6%,38.84,-77.00
200,Stevens Elementary,1050 21ST STREET NW,39500.00,K-12 School,2.00,Washington,US,DC,1000,39500,1.00,0.00,K-12 School,39500.00,CBECS - Elementary/Middle & High School,K-12 School,22480.63,"$2,631.21",13.33,1.00,$0.07,0.04%,38.90,-77.05
