feature_name,feature_type,usetype_applicable,constype_applicable,operationtype_applicable
BG_eemeter_heating_std,eemeter,usetype,,operationtype
BG_eemeter_heatslope,eemeter,usetype,,operationtype
BG_eemeter_nmbe,eemeter,usetype,constype,operationtype
BG_hourlystats_HODmean1,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean10,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean11,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean12,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean13,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean14,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean15,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean16,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean17,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean18,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean19,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean2,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean20,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean21,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean22,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean23,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean24,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean3,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean4,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean5,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean6,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean7,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean8,hourlystats,usetype,constype,operationtype
BG_hourlystats_HODmean9,hourlystats,usetype,constype,operationtype
BG_hourlystats_maxHOD,hourlystats,usetype,constype,operationtype
BG_jmotif_inclasssim_168_6_14,jmotif,,constype,operationtype
BG_jmotif_inclasssim_168_8_21,jmotif,,constype,operationtype
BG_jmotif_inclasssim_24_12_12,jmotif,,constype,operationtype
BG_jmotif_inclasssim_24_6_6,jmotif,,constype,operationtype
BG_jmotif_inclasssim_24_8_8,jmotif,,constype,operationtype
BG_jmotiftemporal_168_6_14_max,jmotif,,constype,operationtype
BG_jmotiftemporal_168_6_14_mean,jmotif,,constype,operationtype
BG_jmotiftemporal_168_6_14_min,jmotif,,constype,operationtype
BG_jmotiftemporal_168_6_14_std,jmotif,,constype,operationtype
BG_jmotiftemporal_168_8_21_max,jmotif,,constype,operationtype
BG_jmotiftemporal_168_8_21_mean,jmotif,,constype,operationtype
BG_jmotiftemporal_168_8_21_min,jmotif,,constype,operationtype
BG_jmotiftemporal_168_8_21_std,jmotif,,constype,operationtype
BG_jmotiftemporal_24_12_12_max,jmotif,,constype,operationtype
BG_jmotiftemporal_24_12_12_mean,jmotif,,constype,operationtype
BG_jmotiftemporal_24_12_12_min,jmotif,,constype,operationtype
BG_jmotiftemporal_24_12_12_std,jmotif,,constype,operationtype
BG_jmotiftemporal_24_6_6_max,jmotif,,constype,operationtype
BG_jmotiftemporal_24_6_6_mean,jmotif,,constype,operationtype
BG_jmotiftemporal_24_6_6_min,jmotif,,constype,operationtype
BG_jmotiftemporal_24_6_6_std,jmotif,,constype,operationtype
BG_jmotiftemporal_24_8_8_max,jmotif,,constype,operationtype
BG_jmotiftemporal_24_8_8_mean,jmotif,,constype,operationtype
BG_jmotiftemporal_24_8_8_min,jmotif,,constype,operationtype
BG_jmotiftemporal_24_8_8_std,jmotif,,constype,operationtype
BG_loadshape_corr_interval,loadshape,usetype,constype,operationtype
BG_loadshape_corr_interval_daytime,loadshape,usetype,constype,operationtype
BG_loadshape_mape_interval,loadshape,usetype,constype,operationtype
BG_loadshape_mape_interval_daytime,loadshape,usetype,constype,operationtype
BG_loadshape_rmse_interval,loadshape,usetype,constype,operationtype
BG_loadshape_rmse_interval_daytime,loadshape,usetype,constype,operationtype
BG_meta_datefirst,meta,usetype,constype,
BG_meta_datelast,meta,usetype,constype,
BG_normalizedcons_max,consumptionstats,usetype,,operationtype
BG_normalizedcons_mean,consumptionstats,usetype,,operationtype
BG_normalizedcons_min,consumptionstats,usetype,,operationtype
BG_normalizedcons_std,consumptionstats,usetype,,operationtype
BG_seasonal_Aug_dur,stats,usetype,constype,operationtype
BG_seasonal_Aug_n2d,stats,usetype,constype,operationtype
BG_seasonal_Aug_range,stats,usetype,constype,operationtype
BG_seasonal_Jan_dur,stats,usetype,constype,operationtype
BG_seasonal_Jan_mn2mx,stats,usetype,constype,operationtype
BG_seasonal_Jan_n2d,stats,usetype,constype,operationtype
BG_seasonal_Jan_range,stats,usetype,constype,operationtype
BG_stats_dur,stats,usetype,constype,operationtype
BG_stats_kwtoutcor,stats,usetype,constype,operationtype
BG_stats_mindaydate,stats,usetype,constype,operationtype
BG_stats_mindaypct,stats,usetype,constype,operationtype
BG_stats_minhrdate,stats,usetype,constype,operationtype
BG_stats_minhrkw,stats,usetype,constype,operationtype
BG_stats_minhrtout,stats,usetype,constype,operationtype
BG_stats_mn2mx,stats,usetype,constype,operationtype
BG_stats_n2d,stats,usetype,constype,operationtype
BG_stats_nv2dv,stats,usetype,constype,operationtype
BG_stlreminder_apr_mean,stl,usetype,constype,operationtype
BG_stlreminder_aug_mean,stl,usetype,constype,operationtype
BG_stlreminder_dec_mean,stl,usetype,constype,operationtype
BG_stlreminder_feb_mean,stl,usetype,constype,operationtype
BG_stlreminder_jan_mean,stl,usetype,constype,operationtype
BG_stlreminder_jul_mean,stl,usetype,constype,operationtype
BG_stlreminder_jun_mean,stl,usetype,constype,operationtype
BG_stlreminder_mar_mean,stl,usetype,constype,operationtype
BG_stlreminder_may_mean,stl,usetype,constype,operationtype
BG_stlreminder_nov_mean,stl,usetype,constype,operationtype
BG_stlreminder_oct_mean,stl,usetype,constype,operationtype
BG_stlreminder_sep_mean,stl,usetype,constype,operationtype
BG_stltrend_apr_mean,stl,usetype,constype,operationtype
BG_stltrend_aug_mean,stl,usetype,constype,operationtype
BG_stltrend_dec_mean,stl,usetype,constype,operationtype
BG_stltrend_feb_mean,stl,usetype,constype,operationtype
BG_stltrend_jan_mean,stl,usetype,constype,operationtype
BG_stltrend_jul_mean,stl,usetype,constype,operationtype
BG_stltrend_jun_mean,stl,usetype,constype,operationtype
BG_stltrend_mar_mean,stl,usetype,constype,operationtype
BG_stltrend_may_mean,stl,usetype,constype,operationtype
BG_stltrend_nov_mean,stl,usetype,constype,operationtype
BG_stltrend_oct_mean,stl,usetype,constype,operationtype
BG_stltrend_sep_mean,stl,usetype,constype,operationtype
BG_stlweeklypattern_fri_mean,stl,usetype,constype,operationtype
BG_stlweeklypattern_mon_mean,stl,usetype,constype,operationtype
BG_stlweeklypattern_sat_mean,stl,usetype,constype,operationtype
BG_stlweeklypattern_sun_mean,stl,usetype,constype,operationtype
BG_stlweeklypattern_thur_mean,stl,usetype,constype,operationtype
BG_stlweeklypattern_tue_mean,stl,usetype,constype,operationtype
BG_stlweeklypattern_wed_mean,stl,usetype,constype,operationtype
BG_weekdays_meanvs95_max,dailyratios,usetype,constype,operationtype
BG_weekdays_meanvs95_mean,dailyratios,usetype,constype,operationtype
BG_weekdays_meanvs95_min,dailyratios,usetype,constype,operationtype
BG_weekdays_meanvs95_std,dailyratios,usetype,constype,operationtype
BG_weekdays_meanvsmax_max,dailyratios,usetype,constype,operationtype
BG_weekdays_meanvsmax_mean,dailyratios,usetype,constype,operationtype
BG_weekdays_meanvsmax_min,dailyratios,usetype,constype,operationtype
BG_weekdays_meanvsmax_std,dailyratios,usetype,constype,operationtype
BG_weekdays_minvs95_max,dailyratios,usetype,constype,operationtype
BG_weekdays_minvs95_mean,dailyratios,usetype,constype,operationtype
BG_weekdays_minvs95_min,dailyratios,usetype,constype,operationtype
BG_weekdays_minvs95_std,dailyratios,usetype,constype,operationtype
BG_weekdays_minvsmax_max,dailyratios,usetype,constype,operationtype
BG_weekdays_minvsmax_mean,dailyratios,usetype,constype,operationtype
BG_weekdays_minvsmax_min,dailyratios,usetype,constype,operationtype
BG_weekdays_minvsmax_std,dailyratios,usetype,constype,operationtype
BG_weekend_meanvs95_max,dailyratios,usetype,constype,operationtype
BG_weekend_meanvs95_mean,dailyratios,usetype,constype,operationtype
BG_weekend_meanvs95_min,dailyratios,usetype,constype,operationtype
BG_weekend_meanvs95_std,dailyratios,usetype,constype,operationtype
BG_weekend_meanvsmax_max,dailyratios,usetype,constype,operationtype
BG_weekend_meanvsmax_mean,dailyratios,usetype,constype,operationtype
BG_weekend_meanvsmax_min,dailyratios,usetype,constype,operationtype
BG_weekend_meanvsmax_std,dailyratios,usetype,constype,operationtype
BG_weekend_minvs95_max,dailyratios,usetype,constype,operationtype
BG_weekend_minvs95_mean,dailyratios,usetype,constype,operationtype
BG_weekend_minvs95_min,dailyratios,usetype,constype,operationtype
BG_weekend_minvs95_std,dailyratios,usetype,constype,operationtype
BG_weekend_minvsmax_max,dailyratios,usetype,constype,operationtype
BG_weekend_minvsmax_mean,dailyratios,usetype,constype,operationtype
BG_weekend_minvsmax_min,dailyratios,usetype,constype,operationtype
BG_weekend_minvsmax_std,dailyratios,usetype,constype,operationtype
