uid,dataend,datastart,energystarscore,heatingtype,industry,mainheatingtype,numberoffloors,occupants,primaryspaceusage,rating,sqft,sqm,subindustry,timezone,yearbuilt,nickname,primaryspaceuse_abbrev,newweatherfilename,dailymeancons,usagecategory,operationsgroup
PrimClass_Ernest,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,129663.0,12046.08169,Primary/Secondary School,America/Chicago,,Ernest,PrimClass,weather21.csv,0.0312923843106,Low,Misc
PrimClass_Emily,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,Primary/Secondary Classroom,,274418.0,25494.25545,Primary/Secondary School,America/Chicago,,Emily,PrimClass,weather32.csv,0.0323248207359,Low,Misc
Office_Evelyn,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,1675720.0,155679.4152,Business Services,America/Los_Angeles,,Evelyn,Office,weather20.csv,0.0334234646533,Low,Misc
PrimClass_Jayla,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,269.0,Primary/Secondary Classroom,D,22948.6348,2132.0,Primary/Secondary School,Europe/London,1967-1976,Jayla,PrimClass,weather1.csv,0.0389815204863,Low,Group2
Office_Emer,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,191554.0,17795.94126,Corporate Office,America/New_York,,Emer,Office,weather36.csv,0.038438352173,Low,Misc
PrimClass_Janiya,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,293.0,Primary/Secondary Classroom,C,31613.5743,2937.0,Primary/Secondary School,Europe/London,1967-1976,Janiya,PrimClass,weather1.csv,0.0425444641149,Low,Group2
PrimClass_Umar,2013-01-31 23:00:00,2012-02-02 00:00:00,,,Education,,,,Primary/Secondary Classroom,,129166.8,12000.0,Primary/Secondary School,Asia/Singapore,,Umar,PrimClass,weather10.csv,0.0433590010246,Low,Misc
Office_Elena,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,169420.0,15739.62626,Corporate Office,America/New_York,,Elena,Office,weather37.csv,0.0428045052251,Low,Misc
PrimClass_Janice,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,,Primary/Secondary Classroom,,23163.9128,2152.0,Primary/Secondary School,Europe/London,1967-1976,Janice,PrimClass,weather1.csv,0.0462717220221,Low,Group2
Office_Jett,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,,Office,,7879.1748,732.0,"City, County, State",Europe/London,pre 1919,Jett,Office,weather1.csv,0.0475060043169,Low,Group2
UnivDorm_Una,2013-01-31 23:00:00,2012-02-02 00:00:00,,,Education,,,,Dormitory,,129166.8,12000.0,Primary/Secondary School,Asia/Singapore,,Una,UnivDorm,weather10.csv,0.0469416199909,Low,Misc
UnivLab_Paul,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,College Laboratory,,477724.0,44381.99277,College/University,America/New_York,,Paul,UnivLab,weather4.csv,0.0471889820177,Low,Group5
Office_Jerry,2015-11-30 23:00:00,2014-12-01 00:00:00,,Oil,Government,Oil,2.0,0.0,Office,C,16597.9338,1542.0,"City, County, State",Europe/London,Post 1976,Jerry,Office,weather1.csv,0.0528426680548,Low,Group2
Office_Eileen,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,318130.0,29555.23139,Bank/Financial Services,America/Los_Angeles,,Eileen,Office,weather27.csv,0.0493105314025,Low,Misc
PrimClass_Uriah,2013-01-31 23:00:00,2012-02-02 00:00:00,,,Education,,,,Primary/Secondary Classroom,,129166.8,12000.0,Primary/Secondary School,Asia/Singapore,,Uriah,PrimClass,weather10.csv,0.0493863418607,Low,Misc
PrimClass_Ulysses,2013-01-31 23:00:00,2012-02-02 00:00:00,,,Education,,,,Primary/Secondary Classroom,,129166.8,12000.0,Primary/Secondary School,Asia/Singapore,,Ulysses,PrimClass,weather10.csv,0.0504197205146,Low,Misc
Office_Lesa,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,6.0,,Office,,47727.1326,4434.0,College/University,Europe/London,1928,Lesa,Office,weather5.csv,0.0493721828454,Low,Group6
UnivDorm_Claudia,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Dormitory,,96336.0,8949.903408,College/University,America/New_York,1913,Claudia,UnivDorm,weather2.csv,0.0515207428173,Low,Group3
Office_Emerald,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,476246.0,44244.68214,Commercial Real Estate,America/New_York,,Emerald,Office,weather16.csv,0.0505781906968,Low,Misc
Office_Ellis,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,428277.0,39788.21813,Commercial Real Estate,America/New_York,,Ellis,Office,weather25.csv,0.051955044321,Low,Misc
UnivClass_Tammy,2013-12-31 23:00:00,2013-01-01 00:00:00,,,Education,,,,College Classroom,,350333.7297,32547.1,College/University,Europe/Zurich,,Tammy,UnivClass,weather8.csv,0.052307506668,Low,Misc
PrimClass_Jaden,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,414.0,Primary/Secondary Classroom,D,27684.7508,2572.0,Primary/Secondary School,Europe/London,pre 1919,Jaden,PrimClass,weather1.csv,0.055989908498,Low,Group2
Office_Elliot,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,185847.0,17265.74384,Commercial Real Estate,America/New_York,,Elliot,Office,weather31.csv,0.0554784573829,Low,Misc
PrimClass_Jermaine,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,230.0,Primary/Secondary Classroom,C,23185.4406,2154.0,Primary/Secondary School,Europe/London,1945-1966,Jermaine,PrimClass,weather1.csv,0.0597279251483,Intermediate,Group2
PrimClass_Josephine,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,64.0,Primary/Secondary Classroom,B,42883.3776,3984.0,Primary/Secondary School,Europe/London,1967-1976,Josephine,PrimClass,weather1.csv,0.059250384664,Intermediate,Group2
Office_Eddie,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Commercial Property,,,,Office,,179665.0,16691.4175,Business Services,America/New_York,,Eddie,Office,weather30.csv,0.0566482329115,Low,Misc
Office_Jackie,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,,Office,,12206.2626,1134.0,"City, County, State",Europe/London,post 1976,Jackie,Office,weather1.csv,0.0671443048903,Low,Group2
UnivDorm_Carla,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Dormitory,,40629.0,3774.555987,College/University,America/New_York,1975,Carla,UnivDorm,weather2.csv,0.0592645238215,Low,Group3
UnivClass_Camden,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,College Classroom,,31415.0,2918.547745,College/University,America/New_York,1912,Camden,UnivClass,weather2.csv,0.0612201660917,Low,Group3
PrimClass_Javier,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,396.0,Primary/Secondary Classroom,C,20203.8403,1877.0,Primary/Secondary School,Europe/London,post 1976,Javier,PrimClass,weather1.csv,0.0697906195434,Intermediate,Group2
PrimClass_Jeanette,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,,Primary/Secondary Classroom,C,23486.8298,2182.0,Primary/Secondary School,Europe/London,1945-1966,Jeanette,PrimClass,weather1.csv,0.0693489164873,Intermediate,Group2
PrimClass_Julius,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,4.0,1173.0,Primary/Secondary Classroom,D,95432.7374,8866.0,Primary/Secondary School,Europe/London,1945-1966,Julius,PrimClass,weather1.csv,0.0706967795399,Intermediate,Group2
PrimClass_Jaylinn,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,517.0,Primary/Secondary Classroom,C,31635.1021,2939.0,Primary/Secondary School,Europe/London,1945-1966,Jaylinn,PrimClass,weather1.csv,0.0719815037029,Intermediate,Group2
PrimClass_Johanna,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,515.0,Primary/Secondary Classroom,C,28190.6541,2619.0,Primary/Secondary School,Europe/London,pre 1919,Johanna,PrimClass,weather1.csv,0.0759595760073,Intermediate,Group2
PrimClass_Jodie,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,348.0,Primary/Secondary Classroom,C,27663.223,2570.0,Primary/Secondary School,Europe/London,1945-1966,Jodie,PrimClass,weather1.csv,0.07775547489,Intermediate,Group2
PrimClass_Johnathan,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,304.0,Primary/Secondary Classroom,D,30300.3785,2815.0,Primary/Secondary School,Europe/London,1945-1966,Johnathan,PrimClass,weather1.csv,0.0767588020301,Intermediate,Group2
PrimClass_Janis,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,101.0,Primary/Secondary Classroom,,7922.2304,736.0,Primary/Secondary School,Europe/London,1945-1966,Janis,PrimClass,weather1.csv,0.0776012910765,Intermediate,Group2
PrimClass_Jamal,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,441.0,Primary/Secondary Classroom,C,25133.7065,2335.0,Primary/Secondary School,Europe/London,1945-1966,Jamal,PrimClass,weather1.csv,0.0815223831163,Intermediate,Group2
PrimClass_Jose,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,4.0,29.0,Primary/Secondary Classroom,E,12087.8597,1123.0,Primary/Secondary School,Europe/London,pre 1919,Jose,PrimClass,weather1.csv,0.0820238107469,Intermediate,Group2
PrimClass_Julianna,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,317.0,Primary/Secondary Classroom,D,34562.8829,3211.0,Primary/Secondary School,Europe/London,1945-1966,Julianna,PrimClass,weather1.csv,0.0850576343844,Intermediate,Group2
PrimClass_Jasmine,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,315.0,Primary/Secondary Classroom,E,27501.7645,2555.0,Primary/Secondary School,Europe/London,post 1976,Jasmine,PrimClass,weather1.csv,0.0838623257474,Intermediate,Group2
PrimClass_Jazmine,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,387.0,Primary/Secondary Classroom,D,22184.3979,2061.0,Primary/Secondary School,Europe/London,pre 1919,Jazmine,PrimClass,weather1.csv,0.0864914476785,Intermediate,Group2
PrimClass_Justin,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,1.0,171.0,Primary/Secondary Classroom,F,14025.3617,1303.0,Primary/Secondary School,Europe/London,1945-1966,Justin,PrimClass,weather1.csv,0.0882372439165,Intermediate,Group2
Office_Marla,2015-04-30 23:00:00,2014-05-01 00:00:00,,,Education,,,,Office,,33401.0,3103.053103,College/University,America/Chicago,,Marla,Office,weather3.csv,0.0828832238911,Low,Group4
PrimClass_Jody,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,241.0,Primary/Secondary Classroom,D,26027.1102,2418.0,Primary/Secondary School,Europe/London,pre 1919,Jody,PrimClass,weather1.csv,0.0859788511924,Intermediate,Group2
PrimClass_Julianne,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,427.0,Primary/Secondary Classroom,C,25865.6517,2403.0,Primary/Secondary School,Europe/London,pre 1919,Julianne,PrimClass,weather1.csv,0.0855955326785,Intermediate,Group2
PrimClass_Justice,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,4.0,1164.0,Primary/Secondary Classroom,E,126045.269,11710.0,Primary/Secondary School,Europe/London,1945-1966,Justice,PrimClass,weather1.csv,0.0904864430903,Intermediate,Group2
UnivClass_Craig,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,College Classroom,,23232.0,2158.322496,College/University,America/New_York,1871,Craig,UnivClass,weather2.csv,0.0854503267961,Low,Group3
PrimClass_Jean,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,284.0,Primary/Secondary Classroom,C,28825.7242,2678.0,Primary/Secondary School,Europe/London,post 1976,Jean,PrimClass,weather1.csv,0.0891203180486,Intermediate,Group2
PrimClass_Jenna,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,235.0,Primary/Secondary Classroom,C,11603.4842,1078.0,Primary/Secondary School,Europe/London,1919-1945,Jenna,PrimClass,weather1.csv,0.0924090559865,Intermediate,Group2
PrimClass_Judith,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,40.0,Primary/Secondary Classroom,E,12970.4995,1205.0,Primary/Secondary School,Europe/London,1967-1976,Judith,PrimClass,weather1.csv,0.0919945580492,Intermediate,Group2
PrimClass_Jessie,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,353.0,Primary/Secondary Classroom,C,33981.6323,3157.0,Primary/Secondary School,Europe/London,1967-1976,Jessie,PrimClass,weather1.csv,0.0909304008165,Intermediate,Group2
PrimClass_Joselyn,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,383.0,Primary/Secondary Classroom,D,31871.9079,2961.0,Primary/Secondary School,Europe/London,pre 1919,Joselyn,PrimClass,weather1.csv,0.0978758437082,Intermediate,Group2
UnivLab_Bethany,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,College Laboratory,,203787.0,18932.42366,College/University,America/Los_Angeles,1999,Bethany,UnivLab,weather7.csv,0.0922187600324,Low,Misc
PrimClass_Judy,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,235.0,Primary/Secondary Classroom,D,11463.5535,1065.0,Primary/Secondary School,Europe/London,post 1976,Judy,PrimClass,weather1.csv,0.0980606407592,Intermediate,Group2
PrimClass_Jarrett,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,359.0,Primary/Secondary Classroom,D,29148.6412,2708.0,Primary/Secondary School,Europe/London,pre 1919,Jarrett,PrimClass,weather1.csv,0.0968764146207,Intermediate,Group2
PrimClass_Jeannine,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Government,Gas,2.0,1104.0,Primary/Secondary Classroom,C,137045.9748,12732.0,Primary/Secondary School,Europe/London,1945-1966,Jeannine,PrimClass,weather1.csv,0.102245247535,Intermediate,Group2
PrimClass_Jeff,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,201.0,Primary/Secondary Classroom,D,11689.5954,1086.0,Primary/Secondary School,Europe/London,1967-1976,Jeff,PrimClass,weather1.csv,0.104259079889,Intermediate,Group2
PrimClass_Julian,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,300.0,Primary/Secondary Classroom,E,18696.8943,1737.0,Primary/Secondary School,Europe/London,pre 1919,Julian,PrimClass,weather1.csv,0.100634160903,Intermediate,Group2
PrimClass_Jeanine,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,583.0,Primary/Secondary Classroom,D,32194.8249,2991.0,Primary/Secondary School,Europe/London,pre 1919,Jeanine,PrimClass,weather1.csv,0.103774108571,Intermediate,Group2
UnivClass_Jadon,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,,College Classroom,D,109070.5987,10133.0,College/University,Europe/London,1945-1966,Jadon,UnivClass,weather1.csv,0.104981914629,Low,Group2
Office_Maryann,2015-04-30 23:00:00,2014-05-01 00:00:00,100.0,,Education,,,,Office,,20864.0,1938.328192,College/University,America/Chicago,,Maryann,Office,weather3.csv,0.0989066735719,Low,Group4
UnivClass_Boyd,2012-12-31 23:00:00,2012-01-01 00:00:00,,,Education,,,,College Classroom,,57600.0,5351.2128,College/University,America/Los_Angeles,1948,Boyd,UnivClass,weather7.csv,0.0992886559411,Low,Misc
PrimClass_Jerome,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,1071.0,Primary/Secondary Classroom,D,88855.9945,8255.0,Primary/Secondary School,Europe/London,post 1976,Jerome,PrimClass,weather1.csv,0.107616501963,Intermediate,Group2
PrimClass_Jacqueline,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,489.0,Primary/Secondary Classroom,C,29891.3503,2777.0,Primary/Secondary School,Europe/London,1945-1966,Jacqueline,PrimClass,weather1.csv,0.103358645736,Intermediate,Group2
PrimClass_Jill,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,313.0,Primary/Secondary Classroom,C,24089.6082,2238.0,Primary/Secondary School,Europe/London,post 1976,Jill,PrimClass,weather1.csv,0.105145150015,Intermediate,Group2
PrimClass_Jim,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,197.0,Primary/Secondary Classroom,D,10914.5946,1014.0,Primary/Secondary School,Europe/London,1967-1976,Jim,PrimClass,weather1.csv,0.105843056519,Intermediate,Group2
Office_Myron,2015-04-30 23:00:00,2014-05-01 00:00:00,87.0,,Education,,,,Office,,92994.0,8639.421582,College/University,America/Chicago,,Myron,Office,weather3.csv,0.106206473317,Low,Group4
PrimClass_Janet,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,3.0,956.0,Primary/Secondary Classroom,C,93764.3329,8711.0,Primary/Secondary School,Europe/London,1919-1945,Janet,PrimClass,weather1.csv,0.10972186846,High,Group2
PrimClass_Janie,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,333.0,Primary/Secondary Classroom,D,18201.7549,1691.0,Primary/Secondary School,Europe/London,pre 1919,Janie,PrimClass,weather1.csv,0.106291970983,Intermediate,Group2
PrimClass_Jensen,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,456.0,Primary/Secondary Classroom,D,35768.4397,3323.0,Primary/Secondary School,Europe/London,1945-1966,Jensen,PrimClass,weather1.csv,0.107706904609,Intermediate,Group2
PrimClass_Jeffrey,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,193.0,Primary/Secondary Classroom,,13788.5559,1281.0,Primary/Secondary School,Europe/London,pre 1919,Jeffrey,PrimClass,weather1.csv,0.112667655517,High,Group2
Office_Conrad,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Office,,21618.0,2008.377054,College/University,America/New_York,1887,Conrad,Office,weather2.csv,0.106916574873,Low,Group3
UnivDorm_Prince,2015-12-31 23:00:00,2015-01-01 00:00:00,,,Education,,,,Dormitory,,87661.0,8143.969883,College/University,America/New_York,,Prince,UnivDorm,weather4.csv,0.108594477332,Low,Group5
PrimClass_Jennifer,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,1.0,402.0,Primary/Secondary Classroom,D,23293.0796,2164.0,Primary/Secondary School,Europe/London,post 1976,Jennifer,PrimClass,weather1.csv,0.109713138583,High,Group2
UnivClass_Therese,2013-12-31 23:00:00,2013-01-01 00:00:00,,,Education,,,,College Classroom,,5119.31084,475.6,College/University,Europe/Zurich,,Therese,UnivClass,weather8.csv,0.107036367296,Low,Misc
PrimClass_Jesse,2015-11-30 23:00:00,2014-12-01 00:00:00,,Gas,Education,Gas,2.0,287.0,Primary/Secondary Classroom,D,15801.4052,1468.0,Primary/Secondary School,Europe/London,1967-1976,Jesse,PrimClass,weather1.csv,0.111310612215,High,Group2
